group,thermo,d18Ow_mean,d18Ow_sd,temperature_mean,temperature_sd
ecto_ungrouped,ecto_ungrouped,1.5,0.3,22,3.2
endo,endo_ungrouped,1.5,0.3,32.4,2.2
miocene_california,ecto,1.4,0.3,17.2,1.3
miocene_california,endo_grouped,1.5,0.3,31.9,5.5
miocene_california,megalodon,1.5,0.3,25.1,4.3
miocene_california,meso,1.5,0.3,24.9,4
miocene_california,white_shark,1.5,0.3,28.4,5.7
miocene_germany,ecto,1.5,0.3,21.2,1.6
miocene_germany,meso,1.5,0.3,24,4.2
miocene_italy,ecto,1.5,0.3,22.7,2.2
miocene_italy,meso,1.5,0.3,25.5,5.6
miocene_japan,endo_grouped,1.5,0.3,35.6,6.6
miocene_japan,megalodon,1.5,0.3,25.1,5.7
pliocene_japan,ecto,1.5,0.3,19.5,4
pliocene_japan,megalodon,1.5,0.3,27.6,1.9
pliocene_japan,white_shark,1.5,0.3,25.4,2.9
pliocene_north_carolina,ecto,1.5,0.3,19.7,2
pliocene_north_carolina,endo_grouped,1.5,0.3,29.9,2.3
pliocene_north_carolina,megalodon,1.5,0.3,25.5,1.8
pliocene_north_carolina,meso,1.5,0.3,24.3,2.4
pliocene_north_carolina,white_shark,1.5,0.3,19.6,2.9
